currency,rate,base,api_date,ingested_at
XCD,2.7,USD,2026-04-23,2026-04-23 12:01:55
XCG,1.79,USD,2026-04-23,2026-04-23 12:01:55
XDR,0.729,USD,2026-04-23,2026-04-23 12:01:55
XOF,559.52,USD,2026-04-23,2026-04-23 12:01:55
XPF,101.79,USD,2026-04-23,2026-04-23 12:01:55
YER,238.7,USD,2026-04-23,2026-04-23 12:01:55
ZAR,16.47,USD,2026-04-23,2026-04-23 12:01:55
ZMW,19.03,USD,2026-04-23,2026-04-23 12:01:55
ZWG,25.2,USD,2026-04-23,2026-04-23 12:01:55
ZWL,25.2,USD,2026-04-23,2026-04-23 12:01:55
